GPS TOW [s],IMU Temp [C],Acc X [g],Acc Y [g],Acc Z [g],Gyr X [deg/s],Gyr Y [deg/s],Gyr Z [deg/s],Mag X [uT],Mag Y [uT],Mag Z [uT]
179480.739,,-0.04883,-0.02271,-0.95996,-0.03052,0.54932,0.27466,,,
179480.744,,-0.04932,-0.02295,-0.96118,-0.09155,0.45776,0.21362,,,
179480.749,,-0.05127,-0.02539,-0.95532,-0.12207,0.33569,0.18311,,,
179480.754,,-0.04883,-0.02222,-0.95703,0.18311,0.54932,0.12207,0.1,42.6,22.4
179480.759,,-0.04688,-0.02124,-0.95972,0.21362,0.67139,0.15259,,,
179480.764,,-0.05054,-0.02368,-0.95947,0.06104,0.48828,0.24414,,,
179480.769,,-0.05029,-0.02344,-0.96021,0.09155,0.42725,0.18311,,,
179480.774,,-0.05054,-0.02319,-0.95874,0.09155,0.48828,0.18311,,,
179480.779,,-0.05249,-0.02319,-0.95630,0.12207,0.48828,0.15259,,,
179480.784,,-0.05200,-0.02124,-0.95728,0.00000,0.61035,0.12207,,,
179480.789,,-0.04883,-0.02271,-0.96387,0.09155,0.57983,0.09155,,,
179480.794,,-0.04883,-0.02173,-0.95630,0.09155,0.54932,0.06104,0.6,42.6,22.3
179480.799,,-0.04785,-0.02173,-0.95947,0.00000,0.45776,0.15259,,,
179480.804,,-0.04834,-0.02075,-0.95923,0.12207,0.54932,0.27466,,,
179480.809,,-0.05151,-0.02466,-0.95996,0.09155,0.51880,0.12207,,,
179480.813,,-0.05127,-0.02759,-0.95874,0.12207,0.42725,0.06104,,,
179480.818,,-0.05249,-0.02539,-0.96143,0.03052,0.54932,0.09155,,,
179480.823,,-0.05127,-0.02075,-0.95996,0.06104,0.42725,0.12207,,,
179480.828,,-0.05103,-0.02051,-0.95679,0.18311,0.51880,0.15259,,,
179480.833,,-0.05103,-0.02393,-0.95898,0.09155,0.67139,0.24414,0.1,42.1,22.1
179480.838,,-0.05054,-0.02271,-0.95972,0.18311,0.48828,0.12207,,,
179480.843,,-0.05005,-0.02515,-0.95996,-0.03052,0.45776,0.06104,,,
179480.848,,-0.05127,-0.02197,-0.95752,0.03052,0.54932,0.12207,,,
179480.853,,-0.05249,-0.02539,-0.95654,-0.03052,0.51880,0.09155,,,
179480.858,,-0.05127,-0.02173,-0.95752,0.09155,0.51880,0.06104,,,
179480.863,,-0.04883,-0.02222,-0.95947,0.15259,0.42725,0.06104,,,
179480.868,,-0.05322,-0.02246,-0.95801,0.15259,0.42725,0.21362,,,
