PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P234,327620.771,1967689.399,17.78990622,-64.62623557,-42.027,-0.434, 
P235,327621.853,1967691.246,17.78992300,-64.62622551,-42.065,-0.472, 
P236,327623.252,1967691.965,17.78992960,-64.62621238,-42.452,-0.859, 
P237,327624.162,1967690.396,17.78991550,-64.62620367,-41.810,-0.218, 
P238,327625.770,1967692.025,17.78993034,-64.62618864,-42.031,-0.438, 
P239,327627.445,1967691.947,17.78992977,-64.62617284,-41.786,-0.194, 
P240,327627.830,1967692.485,17.78993466,-64.62616925,-42.468,-0.875, 
P241,327626.870,1967693.578,17.78994446,-64.62617839,-42.411,-0.818, 
P242,327626.010,1967694.686,17.78995441,-64.62618660,-42.314,-0.721, 
P243,327625.594,1967696.298,17.78996893,-64.62619065,-42.339,-0.746, 
P244,327624.781,1967696.923,17.78997452,-64.62619837,-42.467,-0.874, 
P245,327624.077,1967697.055,17.78997566,-64.62620501,-41.976,-0.383, 
P246,327628.451,1967695.985,17.78996633,-64.62616368,-42.584,-0.991, 
P247,327628.326,1967695.894,17.78996550,-64.62616485,-42.584,-0.991, 
P248,327629.627,1967695.454,17.78996163,-64.62615254,-42.286,-0.693, 
P249,327630.743,1967695.036,17.78995794,-64.62614198,-42.414,-0.821, 
P250,327631.329,1967695.445,17.78996168,-64.62613649,-42.032,-0.439, 
P251,327632.088,1967695.904,17.78996588,-64.62612937,-41.867,-0.273, 
P252,327634.199,1967695.113,17.78995890,-64.62610939,-42.088,-0.495, 
P253,327635.270,1967696.174,17.78996857,-64.62609939,-42.043,-0.450, 
P254,327636.316,1967693.682,17.78994614,-64.62608932,-42.149,-0.556, 
